user_id,experiment_group,experiment_week,experiment_day,user_type,device,checkout_conversion,aov_idr,payment_failure,session_duration_sec
5904,treatment,1,5,returning,mobile,1,145866.68,0,87.9
2583,control,2,13,returning,mobile,0,,0,98.7
3003,control,1,6,returning,mobile,0,,0,189.5
10044,treatment,1,2,returning,mobile,1,200681.14,0,200.8
2088,control,1,4,returning,mobile,0,,0,214.8
8929,control,2,9,returning,mobile,0,,0,175.1
4149,control,1,2,returning,mobile,1,208952.14,0,110.3
136,control,2,14,returning,mobile,0,,0,266.1
9918,control,2,13,new,desktop,0,,0,200.6
1744,treatment,3,19,returning,mobile,0,,0,118.8
7342,control,2,12,returning,mobile,1,120890.93,0,181.2
10875,treatment,1,1,returning,mobile,1,86395.44,0,91.2
3708,treatment,3,15,returning,mobile,1,346602.11,0,129.8
5471,treatment,3,18,new,mobile,0,,0,173.5
701,control,2,9,returning,desktop,0,,1,199.1
8558,treatment,3,19,returning,mobile,0,,0,152.9
11716,treatment,1,4,returning,mobile,0,,0,145.8
1609,control,2,8,new,mobile,0,,0,172.6
5864,treatment,2,8,returning,mobile,0,,1,155.1
430,treatment,2,9,new,mobile,0,,0,148.4
4024,treatment,2,8,returning,mobile,0,,0,214.5
6689,treatment,2,10,returning,mobile,0,,1,84.9
4101,control,3,19,returning,desktop,0,,0,192.5
8876,control,2,11,returning,mobile,1,71719.4,0,223.2
8515,control,3,18,returning,desktop,0,,0,228.4
9650,control,3,16,new,mobile,0,,0,187.0
2271,treatment,3,18,returning,mobile,0,,0,178.3
7693,control,3,21,returning,mobile,0,,0,223.4
71,control,3,17,returning,mobile,0,,0,228.2
5721,treatment,3,21,new,mobile,0,,0,135.6
10748,treatment,2,8,returning,mobile,0,,0,172.7
10153,control,1,5,new,desktop,0,,0,87.3
11958,control,2,8,new,mobile,0,,0,145.3
9138,treatment,3,16,returning,mobile,0,,0,186.0
2020,control,3,20,returning,desktop,0,,0,152.7
9837,control,2,13,returning,mobile,0,,0,190.7
11352,control,1,7,returning,mobile,1,111948.66,0,152.0
6703,treatment,3,19,returning,desktop,1,106909.34,0,107.7
4030,treatment,2,12,new,desktop,0,,0,124.0
7760,treatment,2,11,new,mobile,0,,0,174.2
11691,control,2,8,returning,mobile,0,,0,166.9
8484,treatment,2,13,returning,mobile,0,,0,119.8
3859,treatment,3,17,returning,mobile,0,,0,140.2
745,treatment,3,20,returning,mobile,0,,1,163.7
1384,treatment,1,4,returning,desktop,0,,0,143.3
5644,control,3,17,returning,mobile,0,,0,221.9
8686,control,1,5,new,mobile,0,,0,153.7
10614,control,3,16,returning,desktop,0,,1,241.4
150,control,2,14,new,mobile,0,,0,121.7
11880,treatment,3,21,new,desktop,0,,0,185.5
812,control,2,14,returning,mobile,0,,0,158.7
5901,treatment,2,11,new,desktop,1,582547.2,0,144.1
4329,treatment,1,7,new,mobile,0,,0,99.7
6374,treatment,2,12,new,mobile,1,108186.48,0,56.9
3996,control,2,13,new,desktop,0,,0,204.0
4383,control,3,15,new,mobile,0,,0,190.0
1731,treatment,2,11,returning,desktop,1,160175.52,0,264.5
4360,treatment,3,16,new,mobile,0,,0,66.2
5028,control,1,5,returning,mobile,0,,0,157.7
1794,treatment,2,11,returning,mobile,0,,0,148.1
9080,control,2,12,returning,mobile,0,,1,240.5
5467,treatment,1,2,new,mobile,0,,1,73.7
11128,control,2,12,returning,mobile,0,,0,151.0
8487,treatment,3,18,new,mobile,0,,0,189.6
1122,control,2,8,new,mobile,0,,0,195.2
4619,control,2,13,new,desktop,0,,0,156.3
5938,control,2,13,returning,desktop,0,,0,223.3
9528,control,3,21,returning,mobile,0,,0,241.3
2035,control,2,12,returning,desktop,1,375616.53,0,203.6
3127,treatment,3,20,new,mobile,0,,0,134.0
11065,control,1,2,new,mobile,0,,0,149.6
11823,treatment,1,6,new,desktop,0,,0,161.8
3828,control,3,18,returning,mobile,0,,0,171.7
4368,treatment,2,8,new,mobile,0,,0,147.4
5298,control,2,14,returning,desktop,0,,0,259.4
3211,control,3,19,returning,mobile,0,,0,158.0
9929,treatment,2,10,returning,desktop,0,,0,159.3
2699,control,2,10,returning,mobile,0,,0,160.3
8046,control,2,10,returning,mobile,0,,0,153.6
4280,treatment,1,7,new,mobile,0,,0,145.8
374,control,1,4,returning,mobile,0,,0,211.8
625,treatment,3,21,returning,mobile,0,,0,201.4
11618,control,3,20,returning,mobile,0,,0,196.1
6097,control,1,5,returning,desktop,1,387217.14,0,126.5
4984,control,1,3,returning,desktop,0,,0,209.0
3489,control,2,9,returning,desktop,0,,0,125.0
11980,treatment,3,21,new,mobile,0,,0,201.1
2037,treatment,3,21,returning,mobile,0,,0,154.6
8389,control,2,11,returning,desktop,0,,0,93.0
748,control,2,14,returning,mobile,0,,0,185.9
9038,treatment,3,19,returning,desktop,0,,0,105.5
9146,treatment,1,6,returning,mobile,1,43028.72,0,92.4
4448,control,1,1,returning,mobile,0,,0,179.3
11020,treatment,1,3,new,mobile,0,,0,137.2
6744,control,3,16,returning,desktop,0,,0,244.5
7503,control,2,14,returning,desktop,0,,0,161.1
3101,treatment,2,14,returning,desktop,0,,0,184.3
3300,control,3,18,new,mobile,0,,0,154.7
6246,control,3,16,returning,desktop,0,,0,175.0
8293,control,2,9,returning,desktop,0,,0,128.0
7567,control,3,20,returning,mobile,0,,0,236.0
3432,treatment,2,12,returning,mobile,0,,0,152.4
7119,control,2,14,returning,mobile,0,,0,167.9
6806,treatment,2,8,new,mobile,0,,1,167.3
1262,control,1,1,returning,mobile,0,,0,251.9
648,treatment,1,7,new,mobile,0,,0,128.8
20,treatment,1,6,returning,mobile,0,,0,104.1
5609,control,3,18,new,mobile,0,,0,183.4
2146,treatment,3,15,returning,desktop,1,207169.95,0,177.6
6921,treatment,3,15,returning,mobile,0,,0,148.5
5923,treatment,3,21,returning,mobile,0,,0,158.5
9412,control,3,21,returning,mobile,0,,0,248.2
2792,control,3,18,new,mobile,0,,0,135.4
4955,control,2,11,returning,mobile,0,,0,218.4
6728,control,1,7,returning,mobile,0,,0,148.4
1906,control,3,17,returning,mobile,1,309553.91,1,173.6
2022,control,1,6,returning,mobile,0,,0,274.7
5358,control,2,8,returning,mobile,0,,0,204.6
3502,treatment,3,21,returning,mobile,0,,0,173.6
1370,control,2,11,new,mobile,0,,0,127.8
4768,treatment,3,20,returning,mobile,1,197572.71,0,99.2
1369,control,3,21,returning,mobile,0,,0,170.6
9374,treatment,1,5,returning,mobile,0,,0,134.3
9785,treatment,3,18,returning,mobile,0,,0,108.1
1942,control,2,12,new,mobile,0,,0,179.1
7589,treatment,1,7,returning,mobile,1,99477.85,0,126.2
1979,treatment,3,21,new,mobile,0,,1,153.0
8727,treatment,2,9,returning,mobile,0,,0,119.0
5365,treatment,3,19,new,mobile,0,,0,88.2
3367,treatment,3,15,new,mobile,0,,0,192.7
6619,control,2,14,new,mobile,0,,0,181.5
7114,treatment,2,14,new,mobile,0,,0,124.7
5047,control,1,7,returning,mobile,0,,0,225.7
3890,control,1,5,returning,mobile,1,648432.37,1,214.3
3373,treatment,3,17,returning,mobile,0,,0,162.6
4554,treatment,3,15,new,mobile,0,,0,82.0
11193,treatment,1,5,returning,mobile,0,,0,190.5
3046,treatment,3,18,returning,mobile,0,,0,187.1
4811,treatment,3,16,returning,mobile,0,,1,165.4
2334,control,1,2,new,mobile,0,,0,187.5
840,treatment,3,20,returning,mobile,0,,0,96.1
5263,control,1,2,new,mobile,0,,0,90.5
8517,treatment,1,7,new,mobile,0,,0,129.0
10905,control,2,8,returning,mobile,0,,0,159.1
1435,control,3,15,new,mobile,0,,0,265.7
3858,control,1,4,returning,mobile,0,,0,128.6
4602,treatment,1,5,new,mobile,0,,0,134.5
2674,control,2,13,new,desktop,0,,0,169.3
5181,treatment,3,19,returning,mobile,1,117173.51,0,137.9
488,control,2,10,returning,desktop,0,,1,221.0
5518,control,1,5,returning,mobile,0,,0,301.6
534,treatment,2,14,new,mobile,0,,0,173.1
7603,treatment,3,18,new,mobile,0,,0,122.8
7607,treatment,3,15,returning,desktop,0,,0,184.8
6082,control,2,9,returning,mobile,0,,0,209.8
2961,treatment,1,7,new,mobile,1,139879.46,0,87.7
2184,control,1,2,returning,mobile,0,,0,181.8
10965,treatment,2,11,new,desktop,0,,0,237.6
4169,treatment,1,6,returning,desktop,0,,0,117.9
5720,control,2,14,new,mobile,0,,0,200.1
11204,control,2,9,new,desktop,0,,0,194.3
11556,control,3,19,returning,mobile,1,40696.34,0,176.1
7092,treatment,2,11,new,desktop,0,,0,158.4
9327,treatment,2,11,returning,mobile,0,,0,146.6
6715,treatment,2,11,returning,desktop,1,113969.4,0,102.4
201,treatment,3,19,new,desktop,0,,1,81.3
11773,control,2,14,returning,mobile,0,,0,215.8
2211,treatment,3,16,new,mobile,0,,0,53.6
8252,control,3,20,new,mobile,0,,0,200.1
7839,treatment,2,14,returning,mobile,0,,0,169.9
9120,treatment,3,17,new,mobile,0,,0,185.7
8762,control,3,15,returning,mobile,1,77729.42,0,216.8
9118,treatment,1,4,new,mobile,1,246061.1,0,106.3
11719,treatment,1,6,returning,desktop,0,,0,105.2
2445,control,2,14,returning,mobile,0,,0,141.0
3313,treatment,2,10,new,desktop,0,,0,97.3
219,treatment,3,18,returning,mobile,0,,0,145.1
2616,control,1,6,returning,desktop,0,,0,161.7
8030,treatment,1,1,returning,mobile,0,,0,146.7
3778,control,3,21,returning,desktop,0,,0,186.9
4630,control,1,7,new,mobile,0,,0,192.7
10737,control,1,3,new,mobile,0,,0,221.9
9193,treatment,1,6,returning,mobile,0,,0,65.3
11999,treatment,1,7,new,mobile,0,,0,72.9
11752,control,1,4,returning,mobile,0,,0,233.5
7190,treatment,2,14,new,desktop,0,,0,116.0
11591,control,2,8,new,desktop,1,136357.03,0,254.5
1671,control,3,16,returning,mobile,1,131303.36,0,125.2
1189,control,1,2,new,desktop,0,,0,228.3
1615,treatment,3,15,new,mobile,0,,0,37.3
2341,control,2,9,new,mobile,1,76548.59,0,179.1
5668,treatment,2,10,new,mobile,0,,0,153.6
2874,control,2,11,returning,mobile,1,699392.23,0,144.8
5944,treatment,1,7,returning,desktop,1,421114.08,0,145.4
3018,control,3,20,new,mobile,0,,0,113.1
4093,treatment,1,3,returning,desktop,0,,0,155.4
3291,control,3,16,returning,desktop,0,,0,323.3
96,treatment,2,8,new,mobile,1,96182.09,0,223.2
3404,treatment,3,21,new,mobile,0,,0,141.7
11578,control,1,2,returning,mobile,0,,0,131.7
7189,control,2,10,returning,mobile,0,,0,142.0
5803,treatment,2,10,returning,mobile,0,,0,192.1
3099,control,3,20,new,desktop,0,,0,181.2
3419,control,1,5,returning,desktop,0,,0,174.5
7635,control,3,20,returning,mobile,0,,0,188.6
11044,control,3,17,returning,desktop,1,70170.05,0,209.2
9718,control,2,13,new,desktop,0,,0,222.4
1414,treatment,1,2,new,desktop,0,,0,297.9
11794,control,1,2,returning,mobile,1,398219.92,0,251.1
7316,control,1,6,returning,mobile,0,,0,199.9
1374,treatment,3,15,returning,desktop,1,293268.05,0,219.9
2361,treatment,1,7,returning,mobile,0,,0,199.8
2058,control,2,11,returning,mobile,0,,0,189.8
3149,treatment,1,7,new,mobile,1,142929.65,0,24.8
5014,treatment,2,8,new,mobile,0,,0,158.5
4505,control,2,13,returning,mobile,1,156783.92,0,255.4
9404,control,2,12,new,desktop,0,,0,185.1
9647,control,3,19,returning,desktop,0,,0,199.4
4405,control,2,11,new,mobile,0,,0,174.4
857,treatment,1,4,new,desktop,0,,0,175.8
5177,control,2,12,returning,mobile,0,,0,109.7
10550,treatment,2,8,returning,desktop,0,,0,132.1
10659,control,2,8,returning,desktop,0,,0,240.0
2320,treatment,2,8,returning,desktop,0,,0,197.9
9762,control,3,15,new,mobile,0,,0,148.4
8032,control,2,9,returning,desktop,0,,0,163.3
5063,control,3,19,returning,desktop,0,,0,155.9
1209,control,2,11,new,mobile,0,,0,180.0
10130,control,3,15,new,mobile,0,,0,167.5
11812,control,3,15,new,mobile,0,,1,103.9
8894,control,3,21,new,mobile,1,155422.53,0,77.3
6499,control,3,19,new,mobile,0,,0,274.6
9518,control,3,17,returning,mobile,1,333774.31,0,113.7
1278,control,3,20,new,desktop,1,103711.59,0,111.0
2472,treatment,1,2,new,mobile,0,,0,107.5
3939,control,3,16,returning,mobile,0,,0,180.0
102,treatment,2,9,returning,mobile,1,235734.06,0,150.0
6900,treatment,2,8,returning,mobile,0,,0,62.7
725,control,1,6,returning,desktop,0,,0,188.4
4817,control,3,21,returning,mobile,1,173894.3,0,182.7
2378,treatment,2,8,new,mobile,0,,0,120.9
813,treatment,1,6,new,desktop,0,,0,61.0
305,treatment,2,14,returning,mobile,1,132747.3,0,83.0
8938,control,3,21,returning,mobile,0,,0,156.9
5404,control,1,1,new,mobile,0,,0,180.7
4641,control,2,8,new,desktop,0,,0,144.0
8698,control,2,10,new,desktop,0,,0,195.5
6366,control,2,14,returning,desktop,0,,0,287.3
100,treatment,2,11,new,desktop,0,,0,175.6
5100,treatment,3,17,returning,desktop,1,222304.66,0,129.3
851,control,3,18,new,desktop,0,,0,249.5
5703,control,1,2,returning,desktop,0,,0,191.6
386,treatment,2,12,returning,mobile,1,166227.63,0,172.0
4786,treatment,2,13,returning,mobile,0,,0,229.7
4044,treatment,1,1,returning,mobile,0,,0,126.0
9781,control,2,10,returning,desktop,0,,0,200.0
7884,treatment,2,13,returning,mobile,0,,0,107.7
10787,treatment,2,14,new,mobile,0,,0,113.7
9902,control,1,3,returning,desktop,1,281266.33,0,224.4
8254,treatment,1,3,new,mobile,1,81408.57,0,85.0
6413,control,3,19,returning,mobile,0,,0,165.6
8302,control,3,20,returning,mobile,0,,0,259.9
5386,treatment,1,3,new,desktop,0,,0,218.9
10718,treatment,2,12,new,mobile,0,,1,86.2
10332,treatment,1,1,new,desktop,0,,0,164.7
8721,treatment,1,4,returning,mobile,0,,0,157.8
10939,control,3,15,returning,mobile,1,168251.1,0,194.5
10445,treatment,2,13,new,mobile,1,95779.6,0,97.3
2733,treatment,1,4,returning,mobile,0,,0,152.5
9446,control,3,18,returning,mobile,1,178723.44,0,176.6
9599,treatment,2,9,new,desktop,0,,0,127.2
462,control,2,13,returning,mobile,0,,0,166.8
10568,treatment,1,4,returning,desktop,0,,0,220.5
120,treatment,2,11,new,desktop,0,,0,173.0
1571,control,1,1,new,mobile,0,,0,111.6
7736,control,2,8,new,desktop,0,,0,225.3
8619,control,3,21,new,mobile,0,,0,211.0
358,treatment,1,1,returning,mobile,0,,0,145.5
4309,treatment,3,21,returning,mobile,1,201966.47,0,147.2
3910,treatment,2,9,returning,desktop,0,,0,198.3
2047,control,3,20,returning,mobile,0,,0,113.7
5366,treatment,1,6,returning,mobile,1,84177.46,0,120.9
2151,treatment,1,7,returning,mobile,0,,0,145.2
8123,treatment,3,16,new,mobile,0,,0,88.2
4049,control,3,20,returning,mobile,0,,0,225.8
1982,control,1,6,new,mobile,0,,0,193.7
1403,treatment,2,8,returning,mobile,1,151810.28,0,100.8
10592,treatment,2,13,new,mobile,0,,0,221.3
5584,treatment,1,4,new,desktop,1,162711.07,0,219.1
397,treatment,1,6,returning,mobile,0,,0,91.2
1040,control,3,16,returning,desktop,0,,0,190.0
10610,treatment,1,3,returning,mobile,0,,0,67.4
1587,control,2,8,returning,mobile,0,,0,150.2
3692,treatment,1,1,new,mobile,0,,0,133.3
5426,treatment,3,19,returning,desktop,0,,0,160.6
380,treatment,1,4,returning,desktop,0,,0,106.9
7803,control,2,11,new,desktop,0,,0,193.9
2143,treatment,2,13,returning,mobile,0,,0,133.7
4129,treatment,2,10,returning,mobile,0,,0,40.7
2460,treatment,2,10,new,mobile,1,273426.9,0,207.3
11279,control,3,16,returning,mobile,0,,0,202.8
1054,control,2,12,returning,desktop,0,,0,211.2
1787,control,2,12,new,desktop,0,,0,212.2
8205,control,2,11,new,mobile,0,,0,126.1
4843,control,1,6,returning,mobile,0,,1,119.4
10320,control,2,9,returning,desktop,0,,0,173.5
10288,treatment,1,4,returning,desktop,1,104387.14,0,115.0
2246,control,2,11,returning,mobile,1,231871.95,0,209.9
8608,treatment,1,3,new,desktop,0,,0,158.3
7283,control,3,20,returning,mobile,0,,1,243.3
7842,control,3,18,returning,mobile,0,,0,157.0
3820,treatment,3,15,returning,mobile,1,119615.39,0,63.0
3379,control,2,14,new,mobile,0,,0,201.1
3922,treatment,3,18,new,desktop,0,,0,221.6
9605,control,2,12,new,mobile,0,,0,215.3
2964,treatment,3,19,new,mobile,0,,0,147.8
9864,treatment,1,1,new,desktop,1,228521.7,0,55.2
7621,control,2,13,returning,mobile,0,,0,215.3
1497,treatment,1,6,returning,mobile,1,177701.58,0,105.9
7467,control,1,4,returning,mobile,1,137733.77,0,168.4
5764,treatment,2,10,returning,mobile,0,,1,50.0
3703,treatment,1,1,new,mobile,0,,0,136.2
3895,treatment,3,15,new,desktop,1,931348.63,0,107.3
9319,treatment,2,10,returning,mobile,1,154667.39,0,178.4
6467,control,1,2,new,mobile,0,,0,194.0
3661,control,3,19,new,desktop,0,,0,189.6
2086,control,1,1,returning,desktop,0,,0,146.0
9819,control,1,5,returning,mobile,0,,0,259.1
4254,treatment,1,5,returning,desktop,0,,0,74.5
2352,treatment,3,20,returning,mobile,0,,0,93.8
4376,control,3,20,returning,mobile,0,,0,191.0
555,control,3,18,new,mobile,0,,0,233.0
7086,treatment,2,10,returning,mobile,0,,0,142.8
7458,treatment,3,20,new,desktop,0,,0,176.4
9573,control,3,21,new,mobile,0,,0,265.4
5021,treatment,2,14,new,mobile,0,,0,79.3
669,control,2,12,returning,desktop,0,,0,185.7
3743,treatment,3,17,returning,mobile,0,,0,167.1
48,control,2,9,returning,desktop,0,,0,280.4
10061,treatment,1,2,new,mobile,0,,0,175.2
10040,treatment,3,21,returning,desktop,1,58916.52,0,182.9
6840,treatment,2,8,new,mobile,0,,0,133.6
11951,treatment,1,3,returning,desktop,0,,0,70.8
1179,control,1,5,returning,mobile,1,434958.34,0,207.9
7602,treatment,3,20,returning,mobile,0,,0,183.0
10962,control,1,2,new,mobile,1,185784.99,0,181.8
2992,treatment,1,7,returning,mobile,0,,0,149.3
1784,control,1,6,new,mobile,0,,0,226.4
4873,treatment,2,14,new,mobile,0,,0,80.5
5848,control,1,7,returning,desktop,1,227785.69,0,259.3
2219,treatment,3,20,new,mobile,0,,0,149.5
10448,control,3,16,returning,desktop,0,,0,248.0
3915,control,3,15,returning,mobile,0,,0,186.6
3223,treatment,3,20,new,mobile,0,,0,183.6
5139,control,2,12,returning,desktop,0,,0,254.4
5101,treatment,1,2,new,mobile,0,,0,169.1
4421,control,3,19,new,mobile,0,,0,160.4
4314,treatment,3,20,new,desktop,0,,0,152.2
3004,treatment,3,15,returning,mobile,1,128026.23,0,127.0
6683,treatment,1,6,new,mobile,0,,0,125.3
246,treatment,2,8,new,mobile,0,,0,130.1
9363,treatment,3,19,returning,mobile,0,,0,172.1
3530,control,1,2,new,mobile,1,201957.62,0,170.7
9534,control,1,2,new,mobile,0,,0,268.0
8142,control,1,4,returning,desktop,0,,0,113.4
9859,treatment,2,14,returning,mobile,0,,0,20.0
7690,control,2,10,new,mobile,0,,0,151.7
10865,treatment,2,13,returning,desktop,1,201547.39,0,138.7
2040,treatment,1,3,new,desktop,0,,0,147.0
1023,treatment,2,12,new,mobile,0,,0,156.0
2689,control,3,19,returning,mobile,1,117145.77,0,249.7
8135,control,3,18,returning,desktop,0,,0,212.7
11627,control,1,5,new,mobile,0,,0,155.9
8117,treatment,2,11,returning,mobile,0,,0,134.3
10260,treatment,1,4,returning,mobile,0,,0,114.8
4694,treatment,1,3,returning,desktop,1,134951.88,0,172.9
2373,control,3,15,new,mobile,0,,0,106.0
5839,control,2,9,new,mobile,0,,0,236.8
10697,control,2,10,new,mobile,1,460836.03,0,137.8
4868,control,2,13,returning,desktop,0,,0,185.5
11702,treatment,1,1,new,mobile,0,,0,87.9
1693,control,1,2,returning,mobile,0,,0,123.3
11595,control,3,18,returning,desktop,1,302285.53,0,199.2
10308,control,3,16,returning,desktop,0,,0,155.4
1492,treatment,3,17,new,mobile,0,,0,63.1
3786,treatment,1,4,new,mobile,0,,0,111.4
3653,control,3,16,new,desktop,0,,0,124.6
3672,treatment,1,6,new,desktop,0,,0,230.4
10935,control,2,14,returning,mobile,0,,0,152.5
8566,control,1,1,returning,desktop,0,,0,280.8
8573,treatment,2,14,new,desktop,0,,0,168.5
10615,treatment,3,20,returning,desktop,1,144393.74,0,173.4
5266,control,2,14,new,desktop,0,,0,154.0
3449,control,3,17,returning,mobile,0,,0,220.9
3680,control,3,19,returning,desktop,1,2739959.59,0,136.2
6190,treatment,3,15,new,mobile,0,,0,203.9
7445,control,1,3,returning,desktop,0,,0,269.7
6878,control,1,4,returning,mobile,0,,0,200.7
4468,treatment,3,18,new,mobile,0,,0,182.2
4098,treatment,1,6,returning,mobile,0,,0,135.0
7338,control,3,20,returning,mobile,0,,0,254.4
4157,treatment,1,5,returning,mobile,1,315994.01,0,123.6
7135,control,1,7,returning,mobile,1,202996.23,0,124.9
5212,control,3,19,new,mobile,1,480860.21,0,254.4
4681,treatment,1,6,new,mobile,1,145940.8,0,119.3
2630,control,2,9,new,mobile,0,,1,197.2
6364,control,2,11,new,mobile,0,,0,169.4
2532,treatment,1,7,returning,mobile,1,133541.9,0,168.1
1513,treatment,3,19,new,desktop,0,,0,180.0
4005,treatment,1,3,new,desktop,0,,0,209.9
4465,control,1,4,returning,mobile,1,145027.42,0,250.4
1011,treatment,2,12,returning,mobile,0,,0,164.9
6508,control,1,7,returning,mobile,1,251438.84,0,196.8
11106,control,2,8,returning,desktop,0,,0,80.3
2423,treatment,2,14,returning,desktop,1,172712.25,0,113.1
2055,control,2,13,returning,desktop,0,,0,261.0
10307,treatment,1,3,returning,mobile,0,,0,127.1
7638,treatment,3,17,new,mobile,0,,0,161.3
6128,control,1,1,new,desktop,0,,0,163.0
5573,treatment,2,10,returning,mobile,0,,1,150.7
909,control,1,7,returning,mobile,1,246021.19,0,194.6
11098,treatment,1,7,new,mobile,0,,0,135.0
7699,control,1,5,returning,desktop,0,,0,238.2
8080,treatment,1,3,new,mobile,0,,0,151.3
8983,treatment,3,19,returning,mobile,1,257217.57,0,165.6
6312,treatment,1,7,new,mobile,0,,0,137.6
215,treatment,2,12,returning,desktop,0,,0,193.0
2987,control,3,17,returning,desktop,1,186106.85,0,181.7
9100,treatment,2,9,returning,mobile,0,,0,218.5
3116,treatment,2,12,returning,desktop,0,,0,116.8
7262,treatment,2,12,returning,desktop,1,160969.98,0,176.5
11102,control,2,11,returning,desktop,1,217436.25,0,144.4
6189,treatment,2,12,new,mobile,0,,0,148.3
10549,treatment,3,17,new,mobile,0,,0,175.7
6456,treatment,3,20,returning,mobile,1,194411.56,0,155.0
15,control,2,11,new,mobile,0,,0,212.6
2803,control,1,3,returning,desktop,0,,0,256.7
11515,control,1,6,new,mobile,1,342857.5,0,161.9
1702,treatment,1,5,returning,mobile,0,,0,191.0
2702,treatment,2,12,returning,desktop,0,,0,104.6
1321,control,1,6,new,desktop,0,,0,189.2
10081,treatment,3,17,returning,mobile,0,,0,150.3
10141,control,2,11,returning,desktop,1,250679.89,0,145.0
8063,treatment,1,5,new,mobile,0,,0,159.2
5029,treatment,2,14,returning,desktop,0,,1,75.0
519,control,1,5,new,mobile,0,,0,141.5
10444,treatment,3,17,new,mobile,1,98466.44,0,112.8
3541,treatment,2,10,new,desktop,0,,0,144.2
11942,control,3,20,new,mobile,0,,0,214.4
11836,treatment,2,12,returning,mobile,0,,0,103.4
10459,control,1,1,returning,mobile,1,150848.03,0,200.2
4411,control,1,7,new,mobile,0,,0,187.9
5701,treatment,3,15,new,mobile,0,,0,87.0
2381,treatment,2,10,returning,desktop,0,,0,179.0
2103,treatment,3,15,returning,mobile,0,,0,194.3
6831,control,3,21,returning,mobile,0,,0,235.6
6907,treatment,1,3,returning,mobile,0,,0,202.7
7846,control,2,9,returning,mobile,1,146671.08,0,240.0
10096,treatment,2,11,returning,mobile,0,,0,26.4
10821,treatment,1,2,returning,mobile,0,,0,138.0
1644,control,1,3,returning,mobile,0,,0,186.5
32,treatment,2,13,returning,mobile,0,,0,127.8
2228,control,1,3,returning,mobile,0,,0,165.6
9292,treatment,2,13,new,mobile,0,,0,156.0
10505,treatment,2,10,new,mobile,0,,0,61.2
7172,treatment,3,20,returning,mobile,0,,0,124.5
